Id,Name,Alt_Name,Family,Birth_Date,Death_Date,Earliest_Citation_Date,Latest_Citation_Date,Office Association,Office_Titles,Family_Relation_Type_Note,Family_Relation_Type,Family_Relation_Name,Office_Start_1,Office_End_1,Office_Start_2,Office_End_2,Regions_1,Regions_2,Note,Source (Secondary),Source (Primary)
210,Francesco Andrea Osius,Francesco Andrese ab Osibus;Francesco ab Ossebus;Andrea de Ossi,Osio,,,1545,1545,Cavallari of Verona,Cavallaro,,,,1545,,,,Veneto,Verona,,,"Archivio di Stato di Verona, Processi, Uffici pubblici, Cavallari e portalettere, 236.2756"
211,Martin Roschmann,,Roschmann,,,1520,1546,Imperial Post of Tyrol (Fussen),Postmaster,,,,1520,1546,,,,,,"Kustatscher, Erika. Die Innsbrucker Linie der Thurn und Taxis: Die Post in Tirol und den Vorlanden (1490–1769). Innsbruck, Austria: Universitätsverlag Wagner, 2018.",
212,Pietromartire Ghiringelli,,Ghiringelli,,,1542,1546,Spanish Post of Milan (Bellinzona),Postmaster,"Discovers French conspiracy in 1543, prevents French from moving artillery through Switzerland in 1546, and reports to imperial authorities, banned from own nation as result;passes office to brother Benedetto, also brother of Bernardino",Sibling,Benedetto Ghiringelli,,,,,Lombardy;Switzerland,Bellinzona,"Discovers French conspiracy in 1543, prevents French from moving artillery through Switzerland in 1546, and reports to imperial authorities, banned from own nation as result;passes office to brother Benedetto, also brother of Bernardino",,"Archivio di Stato di Milano, Atti di Governo, Finanze, 949;ASM.MS.41"
213,Zaneto Nazanco,,Nazanco,,,1546,1546,Venetian Company of Couriers,Courier;Gastaldo,,,,,,,,Veneto,Venice,,,
214,Alosius de Tassis,Aloisij de Tassis; Aloysij,Tassis,,,1547,1547,,,"Clergy in Bergamo, daughter Adriana",Parent,Adriana Tassis,,,,,Lombardy;Veneto,Bergamo,"Clergy in Bergamo, daughter Adriana",,
215,Benetto Antonio Baghetto,,Baghetto,,,1547,1547,Venetian Company of Couriers,Courier,"Appointed 1547 Oct 11 ""per renoncia Zuanne suo padre""",Child,Zuanne Baghetto,1547,,,,Veneto,Venice,"Appointed 1547 Oct 11 ""per renoncia Zuanne suo padre""",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
216,Nocentus Stringanius Beltrami,Beltramus Stringanius,Beltramine,,,1547,1547,Cavallari of Verona,Cavallaro (Candidate),,,,,,,,Veneto,Verona,,,"Archivio di Stato di Verona, Processi, Uffici pubblici, Cavallari e portalettere, 236.2756"
217,Zuanne Baghetto,,Baghetto,,,1547,1547,Venetian Company of Couriers,Courier,Father to Benetto Antonio,Parent,Benetto Antonio,,1547,,,Veneto,Venice,Father to Benetto Antonio,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
218,Seraphine Tassis I,,Tassis,,,1512,1548,Imperial Post in Augsburg and Rheinhausen,Postmaster,,,,1520,1556,,,HRE,Augsburg,Plays key role in establishment of Reichspost in Rheinhausen/Augsburg,"Dallmeier, Martin Volker Albus, and Fürstliches Marstallmuseum (Regensburg). 500 Jahre Post Thurn und Taxis: Ausstellung Anläßlich der 500jährigen Wiederkehr der Anfänge der Post in Mitteleuropa 1490–1990: Fürstliches Marstallmuseum Regensburg, Emmeramsplatz, 5 12. Mai bis 29. Juli 1990. Neusäss, Germany: Kieser, 1990.",
219,Vicenzo Pupillo,,Berera?,,,1548,1548,Venetian Company of Couriers,Courier,"Appointed 1548 Nov 12 ""per renoncia fatta dal 9 suo padre""; brother-in-law to Benvenuto Pasini I?",Family,Benvenuto Pasini I,1548,,,,Veneto,Venice,"Appointed 1548 Nov 12 ""per renoncia fatta dal 9 suo padre""; brother-in-law to Benvenuto Pasini I?",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
220,Silvestro Pazzan Bergamasco,Pazzar; Silvestro Bason,Pazzon,,1549,1526,1549,Venetian Company of Couriers,Courier;Gastaldo,Appointed 1526 Sept 19 in place of Gier.mo de Zuanne; Replaced by son Lorenzo,Parent,Lorenzo Pazzon,1526,,,,Veneto,Venice,Appointed 1526 Sept 19 in place of Gier.mo de Zuanne; Replaced by son Lorenzo,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
221,Alexander Thomezzoli,,Thomezzoli,,,1549,1549,Cavallari of Verona,Cavallaro (Candidate),,,,,,,,Veneto,Verona,,,"Archivio di Stato di Verona, Processi, Uffici pubblici, Cavallari e portalettere, 236.2756"
222,Andrea,,Andrea,,,1549,1549,Tuscan Couriers,Courier (Procaccio),"""nipote della moglie di Lapaccio""",Family,Lapaccio,,,,,Tuscany,Florence,"""nipote della moglie di Lapaccio""","Chieppi, Sergio. I servizi postali dei Medici dal 1500 al 1737. Arezzo, Italy: Servizio editoriale fiesolano, 1997.","ASF, Miscellanea Medicea 353"
223,Antonio Barera,,Berera,,,1549,1549,Venetian Company of Couriers,Courier;Gastaldo,,,,,,,,Veneto,Venice,,,
224,Battista Guercio,,Guercio,,,1549,1549,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany,Florence,,"Chieppi, Sergio. I servizi postali dei Medici dal 1500 al 1737. Arezzo, Italy: Servizio editoriale fiesolano, 1997.","ASF, Miscellanea Medicea 353"
225,Bellagamba,Bella Gamba,Bellagamba,,,1549,1549,Tuscan Couriers,Courier (Procaccio),,,,,,,,Tuscany,Florence,Profession marked as courier in MAP,"Chieppi, Sergio. I servizi postali dei Medici dal 1500 al 1737. Arezzo, Italy: Servizio editoriale fiesolano, 1997.","ASF, Miscellanea Medicea 353"
226,Concemino,,Concemino,,,1549,1549,Tuscan Couriers,Courier (Procaccio),,,,,,,,Tuscany,Florence,,"Chieppi, Sergio. I servizi postali dei Medici dal 1500 al 1737. Arezzo, Italy: Servizio editoriale fiesolano, 1997.","ASF, Miscellanea Medicea 353"
227,Domenico,,,,,1549,1549,Tuscan Couriers,Courier (Procaccio),"""figlio di Montebuono""",Child,Montebuono,,,,,Tuscany,Florence,"""figlio di Montebuono""","Chieppi, Sergio. I servizi postali dei Medici dal 1500 al 1737. Arezzo, Italy: Servizio editoriale fiesolano, 1997.","ASF, Miscellanea Medicea 353"
228,Gianni,,,,,1549,1549,Tuscan Couriers,Courier (Procaccio),,,,,,,,Tuscany,Florence,"""genero di Concemino""","Chieppi, Sergio. I servizi postali dei Medici dal 1500 al 1737. Arezzo, Italy: Servizio editoriale fiesolano, 1997.","ASF, Miscellanea Medicea 353"
229,Joseph Calepio I,Caleppo,Caleppo,,,1549,1549,Imperial Post of Scheppach and Ulm,Postmaster,,,,1549,,,,HRE,,"Leads postal strike in 1579 (?); Family also from Bergamo, related somehow to Innocence Tassis","Behringer, Wolfgang. Thurn und Taxis: Die Geschichte ihrer Post und ihrer Unternehmen. Munich: Piper, 1990.","TLA , AdfD 45,f. 193v-l94r."
230,Leonardo Sweitzer,,Sweitzer,,,1549,1549,Imperial Post of Augsburg,Postmaster Lieutenant,,,,,,,,HRE;Germany,Augsburg,,,"RB II 2267, f. 314r"
231,Lorenzo Pazzon,,Pazzon,,,1549,1549,Venetian Company of Couriers,Courier,"Appointed 1549 April 7 ""per renoncia fatale da Silvestro suo padre""",Child,Silvestro Pazzon,1549,,,,Veneto,Venice,"Appointed 1549 April 7 ""per renoncia fatale da Silvestro suo padre""",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
232,Mauro Pellegrino,,Pellegrino,,,1549,1549,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany,Florence,,"Chieppi, Sergio. I servizi postali dei Medici dal 1500 al 1737. Arezzo, Italy: Servizio editoriale fiesolano, 1997.","ASF, Miscellanea Medicea 353"
233,Meo,,Meo,,,1549,1549,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany,Florence,,"Chieppi, Sergio. I servizi postali dei Medici dal 1500 al 1737. Arezzo, Italy: Servizio editoriale fiesolano, 1997.","ASF, Miscellanea Medicea 353"
234,Nicolo Forcieri,,Forcieri,,,1549,1549,Cavallari of Tuscany,Cavallaro,,,,,,,,Tuscany,Florence,,"Chieppi, Sergio. I servizi postali dei Medici dal 1500 al 1737. Arezzo, Italy: Servizio editoriale fiesolano, 1997.","ASF, Miscellanea Medicea 353"
235,Schutt,,Schutt,,,1549,1549,Tuscan Couriers,Courier (Procaccio),,,,,,,,Tuscany,Florence,,"Chieppi, Sergio. I servizi postali dei Medici dal 1500 al 1737. Arezzo, Italy: Servizio editoriale fiesolano, 1997.","ASF, Miscellanea Medicea 353"
236,Maturinum Menandi,Maturinus Menandi,Menandi,,,1543,1550,Papal Cursores,Courier,,,,,,,,Tyrol;Lazio;France,Rome;Le Mans,"clericum Cenomanensis, ""clergyman of Le Mans""","Le Plat, Josse. 1787. Monumentorum Ad Historiam Concilii Tridentini Potissimum Illustrandam Spectantium Amplissima Collectio. Lovanii: Ex tipograp. Academica.",
237,Giovan Antonio Berera,Berrera,Berera,,,1544,1550,Venetian Company of Couriers,Courier;Gastaldo,Father to Piero Berera II?,Parent,Piero Berera II,,,,,Veneto,,Father to Piero Berera II?,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
238,Joannes Roillard,Ioannes Roillard,Roillard,,,1544,1550,Papal Cursores,Papal Cursor,,,,,,,,Tyrol;Lazio;France,Rome;Verdun,"clericum Virdunensis, ""clergyman of Verdun""","Le Plat, Josse. 1787. Monumentorum Ad Historiam Concilii Tridentini Potissimum Illustrandam Spectantium Amplissima Collectio. Lovanii: Ex tipograp. Academica.; Bullarum diplomatum et privilegiorum",
239,Napoleone Francesis,,Francesis,,,1545,1550,Spanish Post of Milan,Chancellor,,,,1545,1550,,,Lombardy,Milan,Hired by Simone Tasso,"Gerosa, Marco. “Personaggi della posta dello Stato di Milano tra Simone e Ruggero Tasso.” In I Tasso e le poste d’Europa. Edited by Tarcisio Bottani, 81–92. Bergamo, Italy: Corponove, 2012.",
240,"""Il Camerero""",,"Camerero""",,,1550,1550,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan;Como,Accompanies Giovan Antonio Vitali de Tassis to Como w/ Governor,"Gerosa, Marco. “Personaggi della posta dello Stato di Milano tra Simone e Ruggero Tasso.” In I Tasso e le poste d’Europa. Edited by Tarcisio Bottani, 81–92. Bergamo, Italy: Corponove, 2012.","ASMi, Miscellanea storica, c. 40, 1550 giugno 30"
241,Antonio Cropello,Groppello,Groppello,,,1550,1550,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan;Como,Accompanies Giovan Antonio Vitali de Tassis to Como w/ Governor,"Gerosa, Marco. “Personaggi della posta dello Stato di Milano tra Simone e Ruggero Tasso.” In I Tasso e le poste d’Europa. Edited by Tarcisio Bottani, 81–92. Bergamo, Italy: Corponove, 2012.","ASMi, Miscellanea storica, c. 40, 1550 giugno 30"
242,Florence Diaceto,,Diaceto,,,1550,1550,English Couriers,Courier,,,,,,,,England;France,,Italian national; later in service to de Foix,"E. John B Allen, Post and Courier Service in the Diplomacy of Early Modern Europe. (The Hague: Nijhoff, 1973).",
243,Palmerinus (Gherardi?),,Gherardi,,,1550,1550,Papal Post,Postmaster,,,,1550,,,,Lazio,Rome,Takes over from Gherardi,"Beck, Wilhelm. “Ursprung und Ende der fremden Posten in Rom.” Archiv für das Post- und Fernmeldewesen, no. 1–7 (1959): 564–588.",
244,Servi Chiusto,Sessi Chiusto,Chiusto,,,1550,1550,Venetia Company,Courier;Gastaldo,,,,,,,,Veneto,,,,
245,Sessi Chiusto,,Chiusto,,,1550,1550,Venetian Company of Couriers,Courier;Gastaldo,,,,,,,,Veneto,Venice,,,
246,Petrus Gomez Ereyle,Pedro Gomez; Gomes,Gomez,,,1536,1551,Papal Cursores,Magister Cursorum,,,,1555,,,,Tyrol;Lazio,Rome,,"Le Plat, Josse. 1787. Monumentorum Ad Historiam Concilii Tridentini Potissimum Illustrandam Spectantium Amplissima Collectio. Lovanii: Ex tipograp. Academica.; Bullarum",
247,Augustinus de Taxis,Augustin de Tassis,Tassis,,,1539,1551,State in Bergamo;Church in Bergamo,Councilor;Church Canon,,,,1507,,1538,,Lombardy;Veneto,Bergamo,,,
248,Valentino de Bossis,Bossis,Bossis,,,1547,1551,Venetian Company of Couriers in Rome,Postmaster,,,,1547,1551,,,Veneto;Lazio,Venice;Rome,Possibly Zuanne de Bossis,"Beck, Wilhelm. “Ursprung und Ende der fremden Posten in Rom.” Archiv für das Post- und Fernmeldewesen, no. 1–7 (1959): 564–588.",
249,A. Lomellinus,,Lomellinus,,,1551,1551,Papal Cursores,Papal Cursor,,,,,,,,Tyrol;Lazio,Rome,,"Bullarum Diplomatum et Privilegiorum Sanctorum Romanorum Pontificum, Taurinensis Editio",
250,Andera Scarpellini,,Scarpellini,,1551,1551,1551,Spanish Post of Milan,Courier,,,,,1551,,,Lombardy,Milan,Dies in duty,"Gerosa, Marco. “Personaggi della posta dello Stato di Milano tra Simone e Ruggero Tasso.” In I Tasso e le poste d’Europa. Edited by Tarcisio Bottani, 81–92. Bergamo, Italy: Corponove, 2012.",
251,Antonio Targa,,Targa,,,1551,1551,Cavallari of Verona,Cavallaro (Candidate),,,,,,,,Veneto,Verona,,,"Archivio di Stato di Verona, Processi, Uffici pubblici, Cavallari e portalettere, 236.2756"
252,Antonio Tornitor,,Tornitor,,,1551,1551,Cavallari of Verona,Cavallaro (Candidate),,,,,,,,Veneto,Verona,,,"Archivio di Stato di Verona, Processi, Uffici pubblici, Cavallari e portalettere, 236.2756"
253,Croce (corriere),,la Croce,,,1551,1551,Tuscan Couriers,Courier,,,,,,,,Tuscany,Florence,Profession marked as courier in MAP,,
254,Franciscus Muños,,Muños,,,1551,1551,Papal Cursores,Papal Cursor,,,,,,,,Tyrol;Lazio,Rome,,"Bullarum Diplomatum et Privilegiorum Sanctorum Romanorum Pontificum, Taurinensis Editio",
255,Mercurio di Castelsangiovanni,,Castelsangiovanni,,,1551,1551,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan;Parma,Involved in missing 110 scudi from treasury delivery,"Gerosa, Marco. “Personaggi della posta dello Stato di Milano tra Simone e Ruggero Tasso.” In I Tasso e le poste d’Europa. Edited by Tarcisio Bottani, 81–92. Bergamo, Italy: Corponove, 2012.","ASMi, Notarile, c.9748, 1551 agosto 14."
256,Monte Buoni,,Buoni,,,1551,1551,Tuscan Couriers,Courier,,,,,,,,Tuscany,Florence,Profession marked as courier in MAP,,
257,Petrus Leobodie,,Leobodie,,,1551,1551,Papal Cursores,Magister Cursorum,,,,,1551,,,Tyrol;Lazio,Rome,,"Bullarum Diplomatum et Privilegiorum Sanctorum Romanorum Pontificum, Taurinensis Editio",
258,Pierino,,,,,1551,1551,Tuscan Couriers,Courier,,,,,,,,Tuscany,Florence,Profession marked as courier in MAP,,
259,Salvadore di Mastacco,,Mastacco,,,1551,1551,Tuscan Couriers,Courier,,,,,,,,Tuscany,Florence,Profession marked as courier in MAP,,
260,Amadore dell'Abbadia,,dell'Abbadia,,,1552,1552,Spanish Post of Asti;Imperial Military Post,Postmaster;Postmaster,,,,,,,,Lombardy;Piedmont,Asti,Legal dispute with Simone Tasso,"Gerosa, Marco. “Personaggi della posta dello Stato di Milano tra Simone e Ruggero Tasso.” In I Tasso e le poste d’Europa. Edited by Tarcisio Bottani, 81–92. Bergamo, Italy: Corponove, 2012.",
261,Ambrosio de Zuanne Herbariol,,Herbariol,,,1552,1552,Venetian Company of Couriers,Courier,,,,,1552,,,Veneto,Venice,Replace by Antonello Benzon,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
262,Hermanus Laetus,,Laetus,,,1552,1552,Papal Cursores,Papal Cursor,,,,,,,,Tyrol;Lazio,Rome,,"Bullarum Diplomatum et Privilegiorum Sanctorum Romanorum Pontificum, Taurinensis Editio",
263,Varisco Morlachin I,,Morlachin,,,1551,1553,Venetian Company of Couriers,Courier,"Appointed 1551 Oct 22 ""a prova per anni doi in loco de Zuane suo padre"", then ""per vero cia fattale da suo padre"" 1553 Nov 14; Replaced by son Antonio Morlachin",Parent,Antonio Morlachin,1551,1583,,,Veneto,Venice,"Appointed 1551 Oct 22 ""a prova per anni doi in loco de Zuane suo padre"", then ""per vero cia fattale da suo padre"" 1553 Nov 14; Replaced by son Antonio Morlachin",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
264,Zuanne Morlachin,Giovanni Morlachin,Morlachin,,1553,1551,1553,Venetian Company of Couriers,Courier,"Replaced by son, Varisco",Parent,Varisco Morlachin,,1551,,,Veneto,Venice,"Replaced by son, Varisco",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
265,Joannis de Caparellis,Giovanni Caparelli (?),Caparellis,,,1553,1553,Venetian Company of Couriers in Rome,Postmaster,,,,1553,,,,Veneto;Lazio,Venice;Rome,Elected after abdication of Valerio Bressano in July,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 62"
266,Paulo Bosis,,Bossis,,1553,1553,1553,Venetian Company of Couriers,Courier,"Replaced by son Marc'Antonio Bosis I, father of Pietro Bosis",Parent,Pietro Bosis,,1553,,,Veneto,Venice,"Replaced by son Marc'Antonio Bosis I, father of Pietro Bosis",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
267,Ubertum Holloniam,,Holloniam,,,1553,1553,Papal Cursores,Papal Cursor,,,,,,,,Lazio,Rome,,"Bullarum Diplomatum et Privilegiorum Sanctorum Romanorum Pontificum, Taurinensis Editio",
268,Valerio Bresan,Valer Brixien,Bresan,,,1553,1553,Venetian Company of Couriers in Rome,Postmaster,,,,1551,1553,,,Veneto;Lazio,Venice;Rome,Abdicates,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 62"
269,Varisco Locadello,,Locatello,,,1553,1553,Venetian Company of Couriers,Courier,"Appointed 1553 April 17 ""per renoncia de Viva suo padre""",,Viva Locatello,1553,,,,Veneto,Venice,"Appointed 1553 April 17 ""per renoncia de Viva suo padre""",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
270,Viva Locadello,,Locatello,,,1553,1553,Venetian Company of Couriers,Courier,"Replaced by son, Varisco",,Varisco Locatello,,1553,,,Veneto,Venice,"Replaced by son, Varisco",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
271,Zuan Maria da Padova,,Padova,,,1553,1553,Venetian Company of Couriers,Courier,"Appointed 1553 Apr 7 ""per anni doi in loco de suo padre""",,,1553,,,,Veneto,Venice,"Appointed 1553 Apr 7 ""per anni doi in loco de suo padre""",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
272,Cristoforo Tirabosco,,Tirabosco,,1554,1554,1554,Venetian Company of Couriers,Courier,Replaced by son Iseppo,Parent,Iseppo Tirabosco,,1554,,,Veneto,Venice,Replaced by son Iseppo,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
273,Iseppo Tirabosco I,,Tirabosco,,,1554,1554,Venetian Company of Couriers,Courier,"Appointed 1554 Jun 2 ""per renoncia fatali da Cristoforo suo padre""",Child,Cristoforo Tirabosco,1554,,,,Veneto,Venice,"Appointed 1554 Jun 2 ""per renoncia fatali da Cristoforo suo padre""",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
274,Spadone (corriero),,,,,1554,1554,Tuscan Couriers,Courier,,,,,,,,Tuscany,Florence,Profession marked as courier in MAP,,
275,William Thomas,,Thomas,,1554,1554,1554,,Traveler;Clerk of the Privy Council,,,,1545,,1550,,Lombardy;Veneto;Sicily;Lazio;England,Rome;Venice;Naples;Milan;Mantua,"Originally fled to Italy to avoid embezzlement charge, later involved in education of Edward VI. Heavily influenced by Machiavelli. In 1553 carries letters to Charles V's court. Later killed at part of Marian purge following Wyatt's Rebellion.",ODNB,
276,Zuan Mattio Berera,Zannetto Berera?,Berera,,1554,1554,1554,Venetian Company of Couriers,Courier,"Dies, title passes to daughters Giacoma and Pasqua",Parent,Giacoma Berera;Pasqua Berera,,1554,,,Veneto,Venice,"Dies, title passes to daughters Giacomo and Pasqua",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
277,Tura Caballarius,,Tura,,,1545,1555,Cavallari of Verona,Cavallaro,"Named as Cavallaro S.ti Marci, probably father to Vincenzo Tura",Parent,Vincenzo Tura,1545,1557,,,Veneto,Venice;Verona,"Named as Cavallaro S.ti Marci, probably father to Vincenzo Tura",,"Archivio di Stato di Verona, 236.2756;120.1273"
278,Gerolamo Rozzoni,Hieronimo Rozzoni; Rozono,Rozzoni,,1555,1549,1555,Spanish Post of Milan,Chancellor,,,,,,,,Lombardy,Milan,Worked for 20 years with Simone Tasso,"Gerosa, Marco. “Personaggi della posta dello Stato di Milano tra Simone e Ruggero Tasso.” In I Tasso e le poste d’Europa. Edited by Tarcisio Bottani, 81–92. Bergamo, Italy: Corponove, 2012.",
279,Girolamo Seriacopi,,Seriacopi,,,1549,1555,Tuscan Couriers,Maestro dei corrieri,Probably father of Iacopo di Girolamo Seriacopi,Parent,Iacopo di Girolamo Seriacopi,,,,,Tuscany,Florence,Probably father of Iacopo di Girolamo Seriacopi,,"Archivio di Stato di Firenze, Medicea, 353"
280,Nicolaus Zazara,,Zazara,,,1553,1555,Cavallari of Verona,Cavallaro,,,,,,,,Veneto,Venice;Verona,Named as Cavallaro si S.ti Marci,,"Archivio di Stato di Verona, 236.2756;121.693"
281,Ambrogio Vignali,,Vignale,,,1555,1555,Post of Bologna,Postmaster,"Active during Council of Trent, responsible for shipment of correspondence from Bologna; Son of Gio. Antonio il Sarto, occasionaly ""Sartino""",Child,Gio. Antonio il Sarto,,,,,Lazio,Bologna,"Active during Council of Trent, responsible for shipment of correspondence from Bologna; Son of Gio. Antonio il Sarto, occasionaly ""Sartino""","Fedele, Clemente. Un lago per comunicare: Il Garda e l’Italia nella storia della cultura postale di età moderna. Salò: Ateneo di Salò, 2024.",
282,Cristoforo Banfi,,Banfi,,,1555,1555,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan,,"Gerosa, Marco. “Personaggi della posta dello Stato di Milano tra Simone e Ruggero Tasso.” In I Tasso e le poste d’Europa. Edited by Tarcisio Bottani, 81–92. Bergamo, Italy: Corponove, 2012.",
283,Diego James de Haro,,Haro,,1555,1555,1555,Imperial Post of Naples,Postmaster,,,,,,,,Spain;Naples,Naples,,,"BNE, ms. 7915/34"
284,Gabriele Banfi,,Banfi,,,1555,1555,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan,,"Gerosa, Marco. “Personaggi della posta dello Stato di Milano tra Simone e Ruggero Tasso.” In I Tasso e le poste d’Europa. Edited by Tarcisio Bottani, 81–92. Bergamo, Italy: Corponove, 2012.",
285,Gerolamo Oselli,,Oselli,,,1555,1555,Cavallari of Brescia,Cavallaro,,,,,,,,Veneto;Lombardy,Brescia,,"Dedé, Luigi. “Il servizio postale fra Brescia e Venezia durante il dominio veneto,” In
Commentari dell'Ateneo di Brescia per l'anno 1986, 157–198. Brescia: Tipolito Fratelli
Geroldi, 1987.",
286,Giovanni Giacomo Battista Banfi,,Banfi,,,1555,1555,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan,,"Gerosa, Marco. “Personaggi della posta dello Stato di Milano tra Simone e Ruggero Tasso.” In I Tasso e le poste d’Europa. Edited by Tarcisio Bottani, 81–92. Bergamo, Italy: Corponove, 2012.",
287,Marco Antonio Colombo,,Columbo,,,1555,1555,Cavallari of Brescia,Cavallaro,,,,,,,,Veneto;Lombardy,Brescia,,"Dedé, Luigi. “Il servizio postale fra Brescia e Venezia durante il dominio veneto,” In
Commentari dell'Ateneo di Brescia per l'anno 1986, 157–198. Brescia: Tipolito Fratelli
Geroldi, 1987.",
288,Martin Berera,,Berera,,,1555,1555,Venetian Company of Couriers,Courier,"Appointed 1555 Oct 17 ""in loco di Piero suo padre""; father of Marieta",Parent,Marieta Berera,1555,,,,Veneto,Venice,"Appointed 1555 Oct 17 ""in loco di Piero suo padre""; father of Marieta",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
289,Piero Berera I,,Berera,,,1555,1555,Venetian Company of Couriers,Courier,Replaced by son Martin; uncle to Domenego Berera?,Parent,Martin Berera,,1555,,,Veneto,Venice,Replaced by son Martin; uncle to Domenego Berera?,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
290,Simone Pasachi,,Pasachi,,,1555,1555,Cavallari of Brescia,Cavallaro,,,,,,,,Veneto;Lombardy,Brescia,,"Dedé, Luigi. “Il servizio postale fra Brescia e Venezia durante il dominio veneto,” In
Commentari dell'Ateneo di Brescia per l'anno 1986, 157–198. Brescia: Tipolito Fratelli
Geroldi, 1987.",
291,Vincenzo Federici,,Federici,,,1555,1555,Cavallari of Brescia,Cavallaro,,,,,,,,Veneto;Lombardy,Brescia,,"Dedé, Luigi. “Il servizio postale fra Brescia e Venezia durante il dominio veneto,” In
Commentari dell'Ateneo di Brescia per l'anno 1986, 157–198. Brescia: Tipolito Fratelli
Geroldi, 1987.",
292,Gian Giacomo de Tassis,,Tassis,,1556,1536,1556,,,Son of Gabriele Tassis (Sandri),Child,Gabriele Tassis (Sandri),,,,,Veneto;Lombardy,Bergamo,"Resides in father's palazzo in via Tassis in citta alta; Marries Pace Grumelli in 1553; has two properties in ROme, una detta del pavone e l'altra in San Pancrazio; Suspicion of inquisition in Bergamo for accusations of heresy 1550-1551; has seven children","Tarcisio Bottani, Gianfranco Lazzarini, et al., Genealogia Tasso (Bergamo, Italy: Santini Pubblicità, July 2007), https://www.museodeitasso.com/export /sites/default/documenti/albero-genealogico-casato-tasso.pdf.;Da Cornello all'Europa",
293,Cornelia Tassis,,Tassis,,,1556,1556,,,Daughter of Gian Giacomo Tassis (Sandri),Child,Gian Giacomo Tassis (Sandri),,,,,,,,"Le Poste dei Tasso: Da Cornello all’Europa (Bergamo, Italy: Museo dei Tasso e della Storia Postale and Corponove, 2021)",
294,Giacomo Berera,Iacomo Berrera;Barriera,Berera,,,1556,1556,Venetian Company of Couriers,Courier,,,,,,,,Veneto;Lazio,Venice;Rome,,,"Navagero, Bernardo. Bernardo Navagero: Dispacci al Senato dal 7 settembre 1555 al 6 novembre 1557. Edited by Daniele Bernardo Santarelli, November 11, 2011. http://www.storiadivenezia.net/sito/testi/Navagero2.pdf."
295,Ginevra Tassis,,Tassis,,,1556,1556,,,Daughter of Gian Giacomo Tassis (Sandri),Child,Gian Giacomo Tassis (Sandri),,,,,,,,"Le Poste dei Tasso: Da Cornello all’Europa (Bergamo, Italy: Museo dei Tasso e della Storia Postale and Corponove, 2021)",
296,Giovanni Battista Raspa,,Raspa,,,1556,1556,Venetian Company of Couriers,Courier (Rome),,,,,,,,Veneto;Lazio,Venice;Rome,,,"Navagero, Bernardo. Bernardo Navagero: Dispacci al Senato dal 7 settembre 1555 al 6 novembre 1557. Edited by Daniele Bernardo Santarelli, November 11, 2011. http://www.storiadivenezia.net/sito/testi/Navagero2.pdf."
297,Lorenzo di Silvestro,,Silvestro,,,1556,1556,Venetian Company of Couriers,Courier,,,,,,,,Veneto;Lazio,Venice;Rome,,,"Navagero, Bernardo. Bernardo Navagero: Dispacci al Senato dal 7 settembre 1555 al 6 novembre 1557. Edited by Daniele Bernardo Santarelli, November 11, 2011. http://www.storiadivenezia.net/sito/testi/Navagero2.pdf."
298,Margherita Tassis,,Tassis,,,1556,1556,,,Daughter of Gian Giacomo Tassis (Sandri),Child,Gian Giacomo Tassis (Sandri),,,,,,,,"Le Poste dei Tasso: Da Cornello all’Europa (Bergamo, Italy: Museo dei Tasso e della Storia Postale and Corponove, 2021)",
299,Roco de Bortolo,,Bortolo,,,1556,1556,Venetian Company of Couriers,Courier,"Appointed 1556 April 30 ""per renoncia de suo padre""",,,1556,,,,Veneto,Venice,"Appointed 1556 April 30 ""per renoncia de suo padre""",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
